ZONA,FECHA,HORA,ID_QUEJA,LATITUD,GRAVEDAD,LONGITUD,DELITO,TIPO_LUGAR
MANHATTAN,2025-04-07,16:40:00,304332418,40.741973,FELONY,-74.004639,ROBBERY,COMMERCIAL BUILDING
MANHATTAN,2025-02-04,01:02:00,300512029,40.713534,FELONY,-74.009045,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-06-21,12:30:00,308437914,40.739845,FELONY,-74.007997,FELONY ASSAULT,STREET
MANHATTAN,2025-01-15,12:00:00,299980977,40.70698,FELONY,-74.007121,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-02-17,03:35:00,301198270,40.716309,FELONY,-74.008602,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-05-05,18:10:00,305887597,40.711466,FELONY,-74.012218,ROBBERY,No Especificado
MANHATTAN,2025-05-27,00:25:00,307075176,40.715506,FELONY,-74.005199,ROBBERY,CHAIN STORE
MANHATTAN,2025-08-24,16:16:00,311808206,40.72212143,FELONY,-74.00976951,FELONY ASSAULT,STREET
MANHATTAN,2025-01-24,20:47:00,300011790,40.711748,FELONY,-74.009362,BURGLARY,GROCERY/BODEGA
MANHATTAN,2025-01-16,05:25:00,299533771,40.71552033695,FELONY,-74.00923827431,FELONY ASSAULT,TRANSIT - NYC SUBWAY
MANHATTAN,2025-02-28,11:45:00,301831429,40.709141,FELONY,-74.00686,ROBBERY,COMMERCIAL BUILDING
MANHATTAN,2025-01-26,08:00:00,300057311,40.748298,FELONY,-74.005597,FELONY ASSAULT,RESIDENCE - APT. HOUSE
MANHATTAN,2025-09-09,12:00:00,312607579,40.709141,FELONY,-74.00686,FELONY ASSAULT,STREET
MANHATTAN,2025-01-31,21:52:00,301355547,40.723876,FELONY,-74.004009,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-09-08,14:42:00,312744229,40.715862,FELONY,-74.009224,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-02-15,00:27:00,301452058,40.741973,FELONY,-74.004639,BURGLARY,COMMERCIAL BUILDING
MANHATTAN,2025-03-10,10:05:00,302353834,40.755431,FELONY,-74.006075,FELONY ASSAULT,STREET
MANHATTAN,2025-08-30,13:15:00,312124138,40.741296,FELONY,-74.006168,ROBBERY,CLOTHING/BOUTIQUE
MANHATTAN,2025-03-30,18:40:00,303918003,40.709884,FELONY,-74.008083,ROBBERY,RESTAURANT/DINER
MANHATTAN,2025-07-18,12:00:00,310892949,40.706756,FELONY,-74.010091,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-05-10,01:16:00,306167003,40.719382,FELONY,-74.009498,BURGLARY,RESTAURANT/DINER
MANHATTAN,2025-05-12,16:40:00,306280708,40.706327,FELONY,-74.012882,ROBBERY,CHAIN STORE
MANHATTAN,2025-01-14,12:50:00,299411384,40.714616,FELONY,-74.011445,FELONY ASSAULT,DEPARTMENT STORE
